type	latitude	longitude	altitude	name	desc
T	46.133220000	-123.806990000	7.6		
T	46.132220000	-123.807070000	11.5		
T	46.131310000	-123.807090000	11.9		
T	46.130310000	-123.807330000	10.8		
T	46.130140000	-123.807350000	10.7		
T	46.129710000	-123.807340000	11.2		
T	46.129400000	-123.807300000	10.2		
T	46.128860000	-123.807180000	11.0		
T	46.128520000	-123.807070000	24.1		
T	46.128410000	-123.807010000	27.7		
T	46.128210000	-123.806840000	31.4		
T	46.128100000	-123.806650000	31.3		
T	46.128020000	-123.806440000	34.2		
T	46.127490000	-123.804180000	60.5		
T	46.126800000	-123.802080000	81.5		
T	46.126670000	-123.801580000	84.2		
T	46.126410000	-123.799940000	78.9		
T	46.126300000	-123.799700000	77.5		
T	46.126300000	-123.799690000	77.9		
T	46.125960000	-123.799190000	82.0		
T	46.125950000	-123.799190000	81.8		
T	46.125890000	-123.799070000	81.0		
T	46.125890000	-123.799060000	81.0		
T	46.125510000	-123.798150000	72.2		
T	46.125480000	-123.798120000	72.1		
T	46.125220000	-123.797670000	71.4		
T	46.124260000	-123.795750000	62.8		
T	46.123990000	-123.795440000	62.8		
T	46.122060000	-123.794020000	58.2		
T	46.121850000	-123.793830000	57.7		
T	46.121520000	-123.793440000	58.4		
T	46.119930000	-123.791040000	58.5		
T	46.119790000	-123.790880000	57.7		
T	46.119670000	-123.790790000	58.3		
T	46.119370000	-123.790690000	60.1		
T	46.118030000	-123.790500000	56.3		
T	46.117780000	-123.790360000	56.5		
T	46.117660000	-123.790270000	56.0		
T	46.105460000	-123.774530000	136.1		
T	46.105440000	-123.774520000	135.8		
T	46.105190000	-123.774270000	134.1		
T	46.104980000	-123.774180000	131.9		
T	46.104880000	-123.774160000	129.5		
T	46.104670000	-123.774080000	124.5		
T	46.104430000	-123.773900000	117.0		
T	46.104090000	-123.773460000	111.5		
T	46.103730000	-123.772510000	97.1		
T	46.103380000	-123.771110000	81.5		
T	46.102890000	-123.767490000	84.0		
T	46.102810000	-123.767170000	82.7		
T	46.102550000	-123.766500000	78.4		
T	46.102360000	-123.765890000	87.7		
T	46.102350000	-123.765880000	87.2		
T	46.102260000	-123.765380000	87.5		
T	46.102160000	-123.765000000	91.2		
T	46.102030000	-123.764680000	91.0		
T	46.101460000	-123.763570000	92.9		
T	46.100970000	-123.761990000	92.3		
T	46.100680000	-123.761440000	88.9		
T	46.100440000	-123.761110000	83.1		
T	46.100430000	-123.761080000	83.3		
T	46.099840000	-123.760160000	77.4		
T	46.099750000	-123.759970000	75.4		
T	46.099640000	-123.759570000	74.0		
T	46.099640000	-123.759520000	75.0		
T	46.099630000	-123.759490000	75.1		
T	46.099610000	-123.757690000	79.1		
T	46.099550000	-123.757370000	75.4		
T	46.099420000	-123.757040000	66.7		
T	46.099420000	-123.757020000	67.8		
T	46.099400000	-123.756990000	69.4		
T	46.099310000	-123.756750000	77.7		
T	46.097760000	-123.749430000	108.7		
T	46.097730000	-123.748980000	111.6		
T	46.097720000	-123.746780000	125.4		
T	46.097670000	-123.746270000	125.2		
T	46.097530000	-123.745670000	118.9		
T	46.097450000	-123.745470000	124.2		
T	46.097350000	-123.745330000	124.9		
T	46.097230000	-123.745210000	125.3		
T	46.096900000	-123.745020000	121.5		
T	46.096700000	-123.744860000	112.9		
T	46.096540000	-123.744620000	112.7		
T	46.096230000	-123.743950000	106.1		
T	46.095650000	-123.743110000	92.3		
T	46.095420000	-123.742640000	83.7		
T	46.095410000	-123.742630000	83.2		
T	46.095230000	-123.742270000	83.3		
T	46.095110000	-123.742120000	73.7		
T	46.095000000	-123.742040000	73.3		
T	46.094900000	-123.742000000	73.3		
T	46.094640000	-123.741990000	69.6		
T	46.094520000	-123.742010000	64.7		
T	46.094290000	-123.742090000	50.7		
T	46.094280000	-123.742100000	49.6		
T	46.093900000	-123.742220000	38.5		
T	46.093840000	-123.742220000	39.6		
T	46.093750000	-123.742200000	41.9		
T	46.093690000	-123.742160000	40.9		
T	46.093560000	-123.742010000	40.0		
T	46.093510000	-123.741870000	37.7		
T	46.093490000	-123.741500000	33.7		
T	46.093610000	-123.740330000	37.9		
T	46.093620000	-123.740310000	37.8		
T	46.093750000	-123.739560000	34.5		
T	46.093830000	-123.739300000	30.1		
T	46.094200000	-123.738630000	43.7		
T	46.094200000	-123.738620000	43.2		
T	46.094310000	-123.738420000	40.1		
T	46.094310000	-123.738410000	39.5		
T	46.094410000	-123.738190000	35.4		
T	46.094580000	-123.737680000	46.5		
T	46.094600000	-123.737650000	47.7		
T	46.094650000	-123.737490000	41.9		
T	46.095020000	-123.736810000	32.9		
T	46.095220000	-123.736340000	34.9		
T	46.095310000	-123.735980000	43.8		
T	46.095330000	-123.735740000	37.6		
T	46.095320000	-123.735470000	33.8		
T	46.095240000	-123.734930000	35.6		
T	46.094930000	-123.733470000	48.9		
T	46.094770000	-123.730630000	47.1		
T	46.094660000	-123.730060000	46.5		
T	46.094020000	-123.727910000	58.6		
T	46.093640000	-123.726160000	65.5		
T	46.093510000	-123.725710000	69.9		
T	46.093340000	-123.725270000	74.7		
T	46.093270000	-123.725020000	78.8		
T	46.093260000	-123.724780000	78.5		
T	46.093270000	-123.724760000	78.5		
T	46.093380000	-123.724130000	64.8		
T	46.093380000	-123.723850000	62.7		
T	46.093370000	-123.723850000	62.2		
T	46.093110000	-123.722240000	67.3		
T	46.093100000	-123.722220000	67.3		
T	46.092910000	-123.721100000	81.1		
T	46.092810000	-123.720820000	84.4		
T	46.091660000	-123.718890000	91.9		
T	46.090660000	-123.717740000	96.3		
T	46.090360000	-123.717340000	107.4		
T	46.090230000	-123.717040000	117.0		
T	46.090140000	-123.716660000	120.1		
T	46.089940000	-123.715420000	132.9		
T	46.089820000	-123.715030000	149.0		
T	46.089690000	-123.714810000	154.9		
T	46.089550000	-123.714680000	156.3		
T	46.088820000	-123.714240000	167.3		
T	46.088740000	-123.714210000	169.8		
T	46.088260000	-123.714140000	170.9		
T	46.088110000	-123.714070000	171.9		
T	46.088020000	-123.714000000	173.6		
T	46.086070000	-123.711860000	192.0		
T	46.086060000	-123.711840000	192.3		
T	46.085340000	-123.711110000	194.6		
T	46.085090000	-123.710920000	197.7		
T	46.084160000	-123.710440000	199.2		
T	46.083770000	-123.710150000	198.7		
T	46.083760000	-123.710130000	198.8		
T	46.082700000	-123.709030000	192.8		
T	46.080120000	-123.705940000	192.4		
T	46.074560000	-123.700670000	210.4		
T	46.074300000	-123.700480000	208.2		
T	46.073730000	-123.700230000	206.9		
T	46.073720000	-123.700230000	207.0		
T	46.073490000	-123.700100000	208.3		
T	46.073340000	-123.699990000	209.1		
T	46.065930000	-123.692800000	275.7		
