type	latitude	longitude	altitude	name	desc
T	45.614930000	-121.996610000	101.9		
T	45.615750000	-121.995240000	114.6		
T	45.616440000	-121.993930000	116.5		
T	45.616470000	-121.993730000	117.7		
T	45.616560000	-121.993400000	129.9		
T	45.616710000	-121.993030000	134.1		
T	45.616870000	-121.992780000	124.7		
T	45.616960000	-121.992590000	120.0		
T	45.617090000	-121.992090000	116.1		
T	45.617270000	-121.991790000	116.5		
T	45.617320000	-121.991620000	117.1		
T	45.617310000	-121.991420000	118.4		
T	45.617220000	-121.990910000	125.5		
T	45.617240000	-121.990680000	128.6		
T	45.617280000	-121.990550000	131.1		
T	45.617530000	-121.990190000	143.6		
T	45.617610000	-121.990000000	146.4		
T	45.617630000	-121.989720000	147.7		
T	45.617670000	-121.989570000	150.8		
T	45.617830000	-121.989270000	151.3		
T	45.617900000	-121.989000000	153.0		
T	45.618000000	-121.988850000	153.6		
T	45.618180000	-121.988740000	153.6		
T	45.618320000	-121.988690000	155.0		
T	45.618480000	-121.988570000	158.0		
T	45.618590000	-121.988430000	158.1		
T	45.618700000	-121.988230000	159.3		
T	45.619510000	-121.985830000	169.2		
T	45.619530000	-121.985360000	170.6		
T	45.619540000	-121.985350000	169.8		
T	45.619570000	-121.985270000	168.2		
T	45.619740000	-121.984970000	167.7		
T	45.619840000	-121.984610000	164.4		
T	45.620180000	-121.983880000	153.4		
T	45.620320000	-121.983670000	152.0		
T	45.620990000	-121.981850000	168.8		
T	45.622260000	-121.979020000	171.0		
T	45.622680000	-121.977910000	153.4		
T	45.622680000	-121.977760000	149.9		
T	45.622630000	-121.977360000	144.3		
T	45.622650000	-121.977010000	146.8		
T	45.622660000	-121.977000000	145.1		
T	45.622660000	-121.976990000	145.3		
T	45.622670000	-121.976980000	143.4		
T	45.622700000	-121.976980000	137.8		
T	45.622700000	-121.976990000	137.8		
T	45.622710000	-121.976990000	135.9		
T	45.622720000	-121.977000000	134.0		
T	45.622720000	-121.977020000	133.8		
T	45.622730000	-121.977030000	131.9		
T	45.622720000	-121.977210000	132.4		
T	45.622730000	-121.977250000	131.1		
T	45.622730000	-121.977330000	131.7		
T	45.622760000	-121.977420000	131.3		
T	45.622850000	-121.977530000	127.6		
T	45.622920000	-121.977560000	123.0		
T	45.623020000	-121.977550000	118.4		
T	45.623060000	-121.977560000	117.9		
T	45.623140000	-121.977550000	114.6		
T	45.623430000	-121.977840000	106.7		
T	45.623460000	-121.977850000	104.4		
T	45.623510000	-121.977930000	106.4		
T	45.623530000	-121.978030000	110.2		
T	45.623530000	-121.978090000	111.3		
T	45.623540000	-121.978090000	110.2		
T	45.623540000	-121.978100000	110.4		
T	45.623550000	-121.978110000	109.4		
T	45.623560000	-121.978110000	108.4		
T	45.623570000	-121.978120000	107.1		
T	45.623580000	-121.978120000	105.6		
T	45.623590000	-121.978110000	104.0		
T	45.623600000	-121.978110000	102.4		
T	45.623600000	-121.978100000	102.1		
T	45.624070000	-121.977070000	114.8		
T	45.624070000	-121.977040000	115.2		
T	45.624080000	-121.977020000	115.4		
T	45.624070000	-121.977000000	115.7		
T	45.624100000	-121.976840000	117.6		
T	45.624340000	-121.976260000	122.7		
T	45.624840000	-121.975250000	120.1		
T	45.625060000	-121.975000000	113.4		
T	45.625160000	-121.974850000	110.3		
T	45.625670000	-121.973900000	106.0		
T	45.625680000	-121.973860000	106.6		
T	45.625720000	-121.973790000	106.8		
T	45.625910000	-121.973210000	115.3		
T	45.626500000	-121.971890000	128.6		
T	45.626830000	-121.971310000	134.3		
T	45.626830000	-121.971300000	134.6		
T	45.626920000	-121.971110000	136.6		
T	45.626930000	-121.971100000	136.6		
T	45.627060000	-121.970830000	139.3		
T	45.627460000	-121.969750000	137.1		
T	45.627470000	-121.969740000	136.8		
T	45.627500000	-121.969650000	136.9		
T	45.627580000	-121.969500000	136.2		
T	45.627690000	-121.969360000	135.2		
T	45.627760000	-121.969230000	134.1		
T	45.628510000	-121.967390000	152.8		
T	45.628520000	-121.967380000	152.8		
T	45.628690000	-121.966990000	155.3		
T	45.628720000	-121.966950000	154.5		
T	45.628730000	-121.966900000	154.5		
T	45.628750000	-121.966860000	153.5		
T	45.628830000	-121.966510000	152.9		
T	45.628940000	-121.966250000	153.3		
T	45.628940000	-121.966240000	153.9		
T	45.629440000	-121.965120000	160.5		
T	45.629760000	-121.964250000	168.2		
T	45.630150000	-121.963390000	164.2		
T	45.630150000	-121.963380000	164.3		
T	45.630520000	-121.962590000	158.4		
T	45.631040000	-121.961160000	138.7		
T	45.631430000	-121.959580000	98.8		
T	45.631590000	-121.957920000	107.5		
T	45.631600000	-121.957900000	106.2		
T	45.631600000	-121.957890000	106.2		
T	45.631610000	-121.957870000	104.9		
T	45.631610000	-121.957860000	105.0		
T	45.631620000	-121.957850000	103.5		
T	45.631620000	-121.957840000	103.6		
T	45.631640000	-121.957840000	101.2		
T	45.631640000	-121.957850000	101.1		
T	45.631650000	-121.957860000	99.9		
T	45.631650000	-121.957870000	99.8		
T	45.631660000	-121.957880000	98.6		
T	45.631640000	-121.958440000	96.1		
T	45.631650000	-121.958460000	94.6		
T	45.631650000	-121.958480000	94.3		
T	45.631660000	-121.958480000	93.1		
T	45.631660000	-121.958490000	92.9		
T	45.631690000	-121.958490000	89.2		
T	45.631690000	-121.958470000	89.5		
T	45.631700000	-121.958460000	88.4		
T	45.631700000	-121.958450000	88.5		
T	45.631710000	-121.958430000	87.4		
T	45.631760000	-121.957910000	87.4		
T	45.631720000	-121.957410000	92.1		
T	45.631650000	-121.956970000	93.0		
T	45.631640000	-121.956960000	93.2		
T	45.631640000	-121.956950000	92.7		
T	45.631620000	-121.956920000	92.2		
T	45.631600000	-121.956910000	92.3		
T	45.631560000	-121.956870000	90.4		
T	45.631550000	-121.956870000	90.6		
T	45.631340000	-121.956730000	103.2		
T	45.631250000	-121.956610000	121.5		
T	45.630850000	-121.955510000	93.5		
T	45.630820000	-121.955360000	90.1		
T	45.630820000	-121.955140000	79.5		
T	45.630900000	-121.954910000	78.4		
T	45.631030000	-121.954740000	78.4		
T	45.631120000	-121.954690000	78.4		
T	45.631360000	-121.954610000	78.4		
T	45.631400000	-121.954560000	78.4		
T	45.631400000	-121.954540000	78.4		
T	45.631410000	-121.954520000	78.4		
T	45.631410000	-121.954490000	78.4		
T	45.631400000	-121.954470000	78.4		
T	45.631380000	-121.954300000	78.4		
T	45.631390000	-121.953790000	78.4		
T	45.631530000	-121.953610000	79.2		
T	45.631550000	-121.953610000	79.2		
T	45.631600000	-121.953640000	78.9		
T	45.631640000	-121.953640000	79.0		
T	45.631650000	-121.953630000	79.1		
T	45.631670000	-121.953630000	79.2		
T	45.631810000	-121.953390000	81.0		
T	45.631870000	-121.953320000	82.3		
T	45.632080000	-121.953170000	88.6		
T	45.632300000	-121.953050000	109.3		
T	45.632500000	-121.952900000	117.6		
T	45.632680000	-121.952730000	120.9		
T	45.633320000	-121.951900000	142.3		
T	45.633970000	-121.950860000	149.0		
T	45.633970000	-121.950850000	149.4		
T	45.634270000	-121.950220000	148.1		
T	45.634420000	-121.949600000	139.2		
T	45.635060000	-121.947660000	190.5		
T	45.635070000	-121.946890000	227.4		
T	45.635110000	-121.946580000	229.7		
T	45.635210000	-121.946380000	228.7		
T	45.635630000	-121.945250000	222.1		
T	45.635850000	-121.944330000	226.6		
T	45.635980000	-121.943560000	234.5		
T	45.636640000	-121.941480000	235.4		
T	45.637380000	-121.938030000	245.8		
T	45.637470000	-121.937730000	241.3		
T	45.637640000	-121.937440000	237.9		
T	45.637820000	-121.937240000	246.5		
T	45.638100000	-121.937100000	238.5		
T	45.638150000	-121.937050000	241.4		
T	45.638180000	-121.937040000	238.5		
T	45.638240000	-121.936980000	238.1		
T	45.638270000	-121.936930000	238.9		
T	45.638300000	-121.936900000	234.8		
T	45.638300000	-121.936890000	236.8		
T	45.638330000	-121.936840000	237.2		
T	45.638360000	-121.936690000	239.0		
T	45.638350000	-121.936370000	236.1		
T	45.638400000	-121.936070000	226.5		
T	45.638630000	-121.935540000	225.1		
T	45.638640000	-121.935490000	224.3		
T	45.638640000	-121.935280000	223.8		
T	45.638540000	-121.934450000	218.1		
T	45.638590000	-121.933700000	187.4		
T	45.638630000	-121.933530000	190.5		
T	45.639210000	-121.931980000	164.6		
T	45.639240000	-121.931950000	163.2		
T	45.639280000	-121.931930000	161.4		
T	45.639290000	-121.931930000	160.8		
T	45.639320000	-121.931910000	159.0		
T	45.639400000	-121.931760000	161.5		
T	45.639410000	-121.931760000	159.8		
T	45.639490000	-121.931840000	139.2		
T	45.639500000	-121.931840000	137.8		
T	45.639500000	-121.931850000	137.1		
T	45.639510000	-121.931850000	135.8		
T	45.639530000	-121.931830000	134.3		
T	45.639620000	-121.931640000	133.2		
T	45.639680000	-121.931420000	131.4		
T	45.639690000	-121.931230000	137.9		
T	45.639680000	-121.931190000	140.4		
T	45.639680000	-121.931080000	140.7		
T	45.639620000	-121.930650000	144.1		
T	45.639620000	-121.930480000	145.7		
T	45.639670000	-121.930180000	146.0		
T	45.639850000	-121.929510000	142.8		
T	45.639880000	-121.929450000	140.8		
T	45.639980000	-121.929370000	127.8		
T	45.640080000	-121.929160000	124.5		
T	45.640220000	-121.929030000	118.9		
T	45.640530000	-121.928910000	111.8		
T	45.640650000	-121.928830000	109.2		
T	45.640760000	-121.928720000	107.1		
T	45.641210000	-121.927980000	89.9		
T	45.641210000	-121.927970000	90.3		
T	45.641330000	-121.927760000	97.8		
T	45.641450000	-121.927910000	98.5		
T	45.641470000	-121.927920000	98.5		
T	45.641640000	-121.928250000	98.8		
T	45.641670000	-121.928280000	98.9		
T	45.641690000	-121.928290000	99.0		
T	45.641700000	-121.928290000	99.0		
T	45.641710000	-121.928300000	99.1		
T	45.641720000	-121.928300000	99.2		
T	45.641730000	-121.928290000	99.2		
T	45.641750000	-121.928290000	99.2		
T	45.641760000	-121.928280000	99.2		
T	45.641770000	-121.928280000	99.3		
T	45.641800000	-121.928250000	99.4		
T	45.642460000	-121.927240000	104.7		
T	45.642460000	-121.927230000	105.3		
T	45.642580000	-121.927050000	106.1		
T	45.642580000	-121.927040000	106.8		
T	45.642820000	-121.926660000	105.6		
T	45.642820000	-121.926650000	106.2		
T	45.643420000	-121.925690000	110.8		
T	45.643520000	-121.925490000	111.3		
T	45.643530000	-121.925490000	110.3		
T	45.643530000	-121.925480000	110.8		
T	45.643620000	-121.925280000	112.6		
T	45.643630000	-121.925270000	111.9		
T	45.643910000	-121.924630000	117.9		
T	45.643950000	-121.924490000	118.6		
T	45.643970000	-121.924180000	120.2		
T	45.643930000	-121.923830000	125.7		
T	45.643890000	-121.923720000	128.7		
T	45.643890000	-121.923700000	129.0		
T	45.643760000	-121.923430000	133.2		
T	45.643750000	-121.923420000	133.5		
T	45.643510000	-121.922930000	140.9		
T	45.643490000	-121.922830000	142.1		
T	45.643500000	-121.922620000	144.8		
T	45.643570000	-121.922280000	148.2		
T	45.643580000	-121.922270000	148.4		
T	45.643730000	-121.921530000	158.8		
T	45.643710000	-121.920600000	171.5		
T	45.643650000	-121.920240000	177.9		
T	45.643650000	-121.920090000	183.3		
T	45.643670000	-121.919970000	186.6		
T	45.643710000	-121.919850000	186.4		
T	45.643820000	-121.919660000	186.7		
T	45.644360000	-121.919050000	205.9		
T	45.645110000	-121.918420000	216.5		
T	45.645140000	-121.918380000	215.4		
T	45.645170000	-121.918310000	215.4		
T	45.645230000	-121.917110000	227.5		
T	45.645380000	-121.916460000	245.8		
T	45.645480000	-121.916200000	259.8		
T	45.645540000	-121.916090000	265.2		
T	45.648280000	-121.912680000	245.7		
T	45.648340000	-121.912530000	244.1		
T	45.648450000	-121.911920000	243.9		
T	45.648660000	-121.911500000	235.7		
T	45.648660000	-121.911490000	235.7		
T	45.649170000	-121.910710000	240.9		
T	45.649320000	-121.910570000	240.0		
T	45.649370000	-121.910540000	239.4		
T	45.649690000	-121.910440000	231.5		
T	45.649880000	-121.910420000	224.8		
T	45.649900000	-121.910430000	223.7		
T	45.649930000	-121.910430000	222.5		
T	45.649950000	-121.910440000	221.4		
T	45.649960000	-121.910460000	220.4		
T	45.650350000	-121.910870000	187.0		
T	45.650530000	-121.910960000	175.4		
T	45.650620000	-121.910970000	170.2		
T	45.650650000	-121.910960000	168.4		
T	45.650680000	-121.910930000	166.6		
T	45.650720000	-121.910860000	163.5		
T	45.650750000	-121.910720000	161.0		
T	45.650750000	-121.910630000	161.2		
T	45.650720000	-121.910550000	163.9		
T	45.650720000	-121.910520000	164.0		
T	45.650690000	-121.910450000	166.8		
T	45.650670000	-121.910290000	170.2		
T	45.650690000	-121.910150000	171.4		
T	45.650810000	-121.909870000	171.0		
T	45.650960000	-121.909680000	168.1		
T	45.651130000	-121.909610000	160.0		
T	45.651130000	-121.909600000	160.4		
T	45.651170000	-121.909580000	158.9		
T	45.651290000	-121.909480000	156.6		
T	45.651430000	-121.909330000	154.7		
T	45.651430000	-121.909320000	155.0		
T	45.651740000	-121.908610000	145.5		
T	45.651830000	-121.908140000	153.1		
T	45.651910000	-121.907950000	154.0		
T	45.652080000	-121.907710000	151.4		
T	45.653180000	-121.905740000	136.1		
T	45.653680000	-121.905050000	128.4		
T	45.653860000	-121.904900000	127.2		
T	45.655060000	-121.904200000	139.5		
T	45.655160000	-121.904110000	142.4		
T	45.655320000	-121.903900000	142.5		
T	45.655330000	-121.903870000	143.1		
T	45.655350000	-121.903580000	150.7		
T	45.655360000	-121.903580000	150.2		
T	45.655370000	-121.903570000	150.1		
T	45.655510000	-121.903550000	140.7		
T	45.655520000	-121.903540000	141.2		
T	45.655530000	-121.903540000	141.1		
T	45.655560000	-121.903490000	142.3		
T	45.655560000	-121.903460000	143.5		
T	45.655520000	-121.903310000	154.4		
T	45.655520000	-121.903270000	155.9		
T	45.655550000	-121.903240000	156.1		
T	45.655720000	-121.903140000	161.0		
T	45.655740000	-121.903120000	163.1		
T	45.655740000	-121.903110000	163.4		
T	45.656170000	-121.902290000	162.0		
T	45.656670000	-121.901750000	153.8		
T	45.656920000	-121.901390000	137.3		
T	45.657020000	-121.901160000	139.1		
T	45.657020000	-121.900890000	150.2		
T	45.657050000	-121.900800000	151.2		
T	45.657170000	-121.900710000	149.3		
T	45.657170000	-121.900700000	149.6		
T	45.657480000	-121.900440000	145.8		
T	45.659120000	-121.899250000	149.3		
T	45.659590000	-121.898980000	157.8		
T	45.660440000	-121.898600000	173.0		
T	45.661330000	-121.898330000	177.6		
T	45.661690000	-121.898190000	175.6		
T	45.661720000	-121.898150000	175.3		
T	45.661730000	-121.898120000	175.2		
T	45.661770000	-121.898110000	175.0		
T	45.661950000	-121.898010000	173.7		
T	45.662040000	-121.898020000	173.6		
T	45.662630000	-121.897740000	169.1		
T	45.662920000	-121.897560000	166.1		
T	45.662930000	-121.897560000	166.1		
T	45.663800000	-121.896930000	155.4		
T	45.663840000	-121.896870000	154.7		
T	45.664530000	-121.896320000	146.3		
T	45.664790000	-121.896160000	142.4		
T	45.665250000	-121.895780000	135.6		
T	45.665270000	-121.895740000	135.4		
T	45.665650000	-121.895460000	132.4		
T	45.665660000	-121.895460000	132.3		
T	45.666460000	-121.895020000	128.2		
T	45.666470000	-121.895020000	128.1		
T	45.667410000	-121.894510000	122.8		
T	45.667600000	-121.894380000	121.5		
T	45.667610000	-121.894360000	121.5		
T	45.667780000	-121.894230000	120.3		
T	45.668350000	-121.893660000	119.1		
T	45.668530000	-121.893440000	120.1		
T	45.668830000	-121.893000000	125.5		
T	45.669160000	-121.892380000	133.5		
T	45.670310000	-121.889330000	145.8		
T	45.670350000	-121.889080000	145.6		
T	45.671000000	-121.887140000	143.1		
T	45.671300000	-121.887210000	144.7		
T	45.671390000	-121.887210000	144.0		
T	45.671410000	-121.887200000	143.8		
T	45.671520000	-121.887100000	141.9		
T	45.673040000	-121.885000000	143.0		
T	45.673980000	-121.883440000	163.0		
T	45.674110000	-121.883140000	161.0		
T	45.674290000	-121.882490000	144.4		
T	45.674660000	-121.880340000	148.9		
T	45.676410000	-121.873310000	151.8		
T	45.678480000	-121.866530000	150.3		
T	45.678900000	-121.864840000	142.0		
T	45.679170000	-121.863490000	130.9		
T	45.679190000	-121.862960000	130.1		
T	45.678930000	-121.860390000	112.2		
T	45.678920000	-121.860370000	111.7		
T	45.678820000	-121.859650000	115.1		
T	45.678810000	-121.859640000	115.0		
T	45.678720000	-121.858870000	139.4		
T	45.678730000	-121.858660000	151.3		
T	45.678770000	-121.858450000	150.6		
T	45.678900000	-121.858160000	147.7		
T	45.679300000	-121.857450000	142.4		
T	45.680110000	-121.854090000	140.2		
T	45.680150000	-121.853730000	140.6		
T	45.680080000	-121.853310000	142.9		
T	45.679690000	-121.851790000	152.6		
T	45.679680000	-121.851780000	152.8		
T	45.679550000	-121.851300000	156.8		
T	45.679550000	-121.850890000	159.5		
T	45.679600000	-121.850700000	159.6		
T	45.679610000	-121.850560000	160.3		
T	45.679850000	-121.850180000	160.7		
T	45.680600000	-121.849180000	118.3		
T	45.682890000	-121.844420000	106.5		
T	45.683570000	-121.843310000	108.9		
T	45.683700000	-121.843160000	109.2		
T	45.684070000	-121.842640000	111.7		
T	45.686220000	-121.840500000	118.9		
T	45.686220000	-121.840490000	119.3		
T	45.686840000	-121.840000000	121.8		
T	45.686840000	-121.839990000	121.9		
T	45.687310000	-121.839610000	118.0		
T	45.688170000	-121.839020000	116.6		
T	45.688180000	-121.839020000	116.5		
T	45.688330000	-121.838920000	115.1		
T	45.688510000	-121.838830000	113.0		
T	45.688510000	-121.838820000	112.9		
T	45.689500000	-121.838240000	102.6		
T	45.689320000	-121.837970000	104.1		
T	45.689320000	-121.837960000	104.1		
T	45.689210000	-121.837810000	107.7		
T	45.689200000	-121.837780000	107.4		
T	45.689090000	-121.837630000	112.4		
T	45.689080000	-121.837590000	112.2		
T	45.688930000	-121.837280000	123.9		
T	45.688890000	-121.836960000	133.8		
T	45.688900000	-121.836570000	147.3		
T	45.688950000	-121.836180000	159.7		
T	45.688970000	-121.836150000	159.0		
T	45.688970000	-121.836130000	159.5		
T	45.689280000	-121.835340000	204.5		
T	45.689440000	-121.834480000	218.8		
T	45.689600000	-121.832480000	234.9		
T	45.689660000	-121.832070000	233.6		
T	45.689760000	-121.831790000	232.6		
T	45.689960000	-121.831410000	234.0		
T	45.690440000	-121.830760000	236.1		
T	45.690730000	-121.830230000	231.8		
T	45.690920000	-121.829690000	230.0		
T	45.691290000	-121.828070000	228.4		
T	45.691450000	-121.827730000	227.2		
T	45.691860000	-121.827380000	225.8		
T	45.692080000	-121.827150000	230.2		
T	45.692230000	-121.826830000	248.8		
T	45.692470000	-121.826050000	288.5		
T	45.692760000	-121.825410000	293.7		
T	45.693010000	-121.825030000	284.0		
T	45.693670000	-121.824530000	294.4		
T	45.693920000	-121.824290000	300.9		
T	45.694090000	-121.824050000	307.4		
T	45.694330000	-121.823500000	318.3		
T	45.694330000	-121.823470000	318.9		
T	45.694410000	-121.823150000	326.3		
T	45.694440000	-121.822490000	342.6		
T	45.694390000	-121.821780000	360.4		
T	45.694320000	-121.821370000	364.9		
T	45.694150000	-121.820920000	376.4		
T	45.693910000	-121.820490000	391.8		
T	45.692850000	-121.819220000	472.3		
T	45.692640000	-121.818760000	505.7		
T	45.692560000	-121.818470000	526.2		
T	45.691880000	-121.814140000	633.7		
T	45.691350000	-121.812380000	636.7		
T	45.691270000	-121.811980000	641.8		
T	45.691240000	-121.811430000	651.2		
T	45.691280000	-121.809110000	635.7		
T	45.691350000	-121.808710000	630.9		
T	45.691970000	-121.807020000	605.7		
T	45.692020000	-121.806710000	602.6		
T	45.691870000	-121.804190000	543.8		
T	45.691750000	-121.803130000	516.1		
T	45.691670000	-121.802720000	497.1		
T	45.690820000	-121.800640000	466.8		
T	45.690620000	-121.800030000	466.6		
T	45.690070000	-121.797860000	467.0		
T	45.690020000	-121.796210000	455.9		
T	45.690130000	-121.794930000	439.4		
T	45.690140000	-121.794270000	434.3		
T	45.690030000	-121.791590000	402.0		
T	45.689600000	-121.786080000	308.0		
T	45.689300000	-121.784820000	278.4		
T	45.689140000	-121.783860000	256.9		
T	45.689100000	-121.782680000	228.7		
T	45.689210000	-121.782250000	220.2		
T	45.689340000	-121.781910000	213.0		
T	45.689780000	-121.781030000	196.2		
T	45.689900000	-121.780720000	188.5		
T	45.690000000	-121.780270000	175.2		
T	45.690050000	-121.776020000	153.8		
T	45.689940000	-121.773790000	155.0		
T	45.689990000	-121.773470000	154.0		
T	45.690380000	-121.772260000	153.3		
T	45.690250000	-121.769640000	159.4		
T	45.690450000	-121.768150000	165.0		
T	45.690670000	-121.767400000	153.1		
T	45.690670000	-121.767370000	153.0		
T	45.690680000	-121.767340000	153.7		
T	45.690680000	-121.767310000	154.3		
T	45.690590000	-121.766930000	157.8		
T	45.690590000	-121.766760000	157.0		
T	45.690640000	-121.766390000	154.9		
T	45.690640000	-121.766290000	155.1		
T	45.690630000	-121.766270000	155.4		
T	45.690600000	-121.766100000	154.8		
T	45.690580000	-121.766060000	155.0		
T	45.690580000	-121.766040000	154.7		
T	45.690470000	-121.765710000	153.5		
T	45.690340000	-121.764230000	129.0		
T	45.690350000	-121.764150000	127.3		
T	45.690420000	-121.763980000	123.8		
T	45.690640000	-121.763700000	120.1		
T	45.690640000	-121.763690000	119.9		
T	45.690670000	-121.763650000	119.3		
T	45.690730000	-121.763480000	114.4		
T	45.690730000	-121.763270000	111.2		
T	45.690680000	-121.762780000	109.9		
T	45.690710000	-121.762300000	127.9		
T	45.690720000	-121.762270000	128.2		
T	45.690750000	-121.761950000	131.9		
T	45.690760000	-121.761940000	131.6		
T	45.690770000	-121.761700000	126.2		
T	45.690570000	-121.760530000	121.4		
T	45.690490000	-121.759680000	127.3		
T	45.690480000	-121.759670000	128.2		
T	45.690460000	-121.759510000	127.9		
T	45.690450000	-121.759490000	129.1		
T	45.690260000	-121.758430000	135.7		
T	45.690260000	-121.757660000	129.0		
T	45.690270000	-121.757610000	126.9		
T	45.690260000	-121.757540000	128.7		
T	45.690330000	-121.757280000	117.3		
T	45.690300000	-121.754960000	112.9		
T	45.690270000	-121.754850000	113.2		
T	45.690270000	-121.754800000	112.3		
T	45.690100000	-121.754290000	124.9		
T	45.690140000	-121.753760000	135.7		
T	45.690250000	-121.753490000	131.9		
T	45.690350000	-121.753330000	130.9		
T	45.690470000	-121.753050000	125.3		
T	45.690540000	-121.752630000	123.5		
T	45.690550000	-121.752610000	122.3		
T	45.691460000	-121.747040000	106.5		
T	45.691540000	-121.746260000	107.8		
T	45.691570000	-121.746130000	108.1		
T	45.691580000	-121.746000000	110.1		
T	45.691710000	-121.745520000	109.7		
T	45.691790000	-121.745050000	120.9		
T	45.691800000	-121.745040000	119.2		
T	45.692110000	-121.742780000	111.7		
T	45.692260000	-121.740750000	115.3		
T	45.692230000	-121.739630000	110.3		
T	45.692250000	-121.739180000	111.6		
T	45.692170000	-121.738370000	118.2		
T	45.692160000	-121.738350000	120.5		
T	45.692050000	-121.737600000	129.2		
T	45.692040000	-121.737580000	131.2		
T	45.691860000	-121.736650000	115.9		
T	45.691540000	-121.735560000	116.3		
T	45.691350000	-121.735100000	105.9		
T	45.691250000	-121.734940000	104.6		
T	45.691130000	-121.734660000	106.5		
T	45.690740000	-121.733010000	109.9		
T	45.690730000	-121.733000000	110.5		
T	45.690310000	-121.731650000	103.8		
T	45.690290000	-121.731500000	104.3		
T	45.690280000	-121.731490000	105.5		
T	45.690240000	-121.731080000	99.7		
T	45.690270000	-121.730600000	99.2		
T	45.690390000	-121.730120000	105.6		
T	45.690410000	-121.729960000	101.4		
T	45.690340000	-121.727300000	118.2		
T	45.690200000	-121.726500000	152.6		
T	45.690030000	-121.726020000	152.5		
T	45.689780000	-121.725580000	149.1		
T	45.689710000	-121.725500000	151.4		
T	45.689710000	-121.725490000	150.7		
T	45.689700000	-121.725490000	152.3		
T	45.689570000	-121.725360000	161.3		
T	45.689540000	-121.725260000	163.9		
T	45.689540000	-121.725160000	169.8		
T	45.689660000	-121.724890000	179.0		
T	45.689690000	-121.724730000	186.6		
T	45.689690000	-121.724590000	194.4		
T	45.689660000	-121.724370000	192.6		
T	45.689610000	-121.724220000	186.1		
T	45.689310000	-121.723740000	181.2		
T	45.689120000	-121.723370000	176.1		
T	45.689120000	-121.723350000	175.8		
T	45.689100000	-121.723300000	176.2		
T	45.689070000	-121.723120000	177.7		
T	45.689040000	-121.722460000	179.1		
T	45.689020000	-121.722360000	178.5		
T	45.688960000	-121.722210000	177.0		
T	45.688820000	-121.722030000	178.4		
T	45.688780000	-121.721950000	178.9		
T	45.688770000	-121.721840000	178.8		
T	45.688800000	-121.721760000	178.5		
T	45.688930000	-121.721540000	176.0		
T	45.689090000	-121.721390000	174.6		
T	45.689490000	-121.721090000	178.4		
T	45.689650000	-121.720880000	179.8		
T	45.689660000	-121.720820000	181.1		
T	45.689680000	-121.720780000	180.4		
T	45.689710000	-121.720570000	178.0		
T	45.689710000	-121.720100000	168.4		
T	45.689850000	-121.719750000	164.0		
T	45.689920000	-121.719640000	161.6		
T	45.689970000	-121.719320000	185.4		
T	45.689860000	-121.718930000	188.4		
T	45.689780000	-121.718760000	184.3		
T	45.689510000	-121.718370000	178.7		
T	45.689000000	-121.717370000	153.4		
T	45.688660000	-121.716820000	144.1		
T	45.688520000	-121.716400000	126.7		
T	45.687920000	-121.715250000	104.5		
T	45.687550000	-121.714630000	91.8		
T	45.687350000	-121.714130000	100.0		
T	45.686990000	-121.712040000	119.9		
T	45.686980000	-121.712020000	121.0		
T	45.686600000	-121.710250000	176.9		
T	45.686540000	-121.708440000	162.8		
T	45.686450000	-121.708060000	148.8		
T	45.686450000	-121.708030000	147.6		
T	45.686370000	-121.707760000	139.4		
T	45.686170000	-121.706310000	100.5		
T	45.686220000	-121.705930000	93.4		
T	45.686380000	-121.705290000	95.8		
T	45.686510000	-121.704980000	96.5		
T	45.686610000	-121.704570000	101.5		
T	45.686840000	-121.704040000	110.4		
T	45.686870000	-121.703910000	111.7		
T	45.686920000	-121.703450000	116.4		
T	45.686980000	-121.703190000	121.7		
T	45.687030000	-121.702700000	127.9		
T	45.687100000	-121.702650000	121.4		
T	45.687170000	-121.702350000	138.1		
T	45.687360000	-121.701880000	130.0		
T	45.687450000	-121.701370000	123.6		
T	45.687430000	-121.700550000	115.2		
T	45.687490000	-121.699010000	119.4		
T	45.687440000	-121.697040000	120.8		
T	45.687480000	-121.695660000	109.3		
T	45.687550000	-121.695120000	108.6		
T	45.687760000	-121.694260000	114.9		
T	45.687490000	-121.693310000	247.5		
T	45.687420000	-121.692940000	285.1		
T	45.687360000	-121.692950000	304.3		
T	45.687300000	-121.693500000	277.8		
T	45.687220000	-121.693930000	251.8		
T	45.687170000	-121.694060000	255.9		
T	45.687130000	-121.693850000	282.8		
T	45.687120000	-121.693190000	350.2		
T	45.687080000	-121.693100000	366.7		
T	45.687010000	-121.693060000	386.8		
T	45.686890000	-121.693180000	405.7		
T	45.686850000	-121.693340000	399.9		
T	45.686810000	-121.693710000	378.6		
T	45.686830000	-121.695360000	441.7		
T	45.686530000	-121.695490000	539.3		
T	45.686380000	-121.695400000	553.9		
T	45.685790000	-121.695130000	588.2		
T	45.685830000	-121.694990000	608.6		
T	45.685910000	-121.694860000	629.2		
T	45.686110000	-121.694800000	645.0		
T	45.686270000	-121.694780000	649.9		
T	45.686380000	-121.694870000	639.4		
T	45.686400000	-121.694900000	635.8		
T	45.686510000	-121.694820000	651.1		
T	45.686520000	-121.694800000	653.9		
T	45.686520000	-121.694790000	655.0		
T	45.686320000	-121.694480000	684.0		
T	45.686270000	-121.694250000	715.9		
T	45.685930000	-121.694040000	764.3		
T	45.685930000	-121.693960000	778.4		
